incident_id,incident_label,regulation_id,regulation_label,classification,cosine,linked_by_threshold
CASE_malindo-lionair-30m-2019,MALINDO-LIONAIR-30M-2019 - September 2019 data penumpang anak usaha Lion...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.0179,0
CASE_prabowo-deepfake-aid-scam-2024,PRABOWO-DEEPFAKE-AID-SCAM-2024 - Mulai ~Desember 2024 penipu menyebar video de...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.1418,0
CASE_undip-deepfake-ncii-2025,UNDIP-DEEPFAKE-NCII-2025 - Seorang mahasiswa hukum Undip diam-diam memot...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.0670,0
CASE_suharto-deepfake-golkar-2024,SUHARTO-DEEPFAKE-GOLKAR-2024 - Pada 6 Januari 2024 Erwin Aksa mengunggah ke ...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.2348,0
CASE_election-candidate-deepfakes-2024,ELECTION-CANDIDATE-DEEPFAKES-2024 - Menjelang Pemilu 14 Februari 2024; video deep...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.2099,0
CASE_sri-mulyani-deepfake-2025,SRI-MULYANI-DEEPFAKE-2025 - Pertengahan Agustus 2025 sebuah deepfake mema...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.1779,0
CASE_ojk-ai-voice-deepfake-fraud-2025,OJK-AI-VOICE-DEEPFAKE-FRAUD-2025 - OJK melaporkan dua metode penipuan AI paling ...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.2754,0
CASE_pdns2-surabaya-ransomware-2024,PDNS2-SURABAYA-RANSOMWARE-2024 - Pada 20 Juni 2024 PDNS 2 Surabaya dienkripsi ...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.3348,0
CASE_bkn-asn-leak-topiax-2024,BKN-ASN-LEAK-TOPIAX-2024 - Pada 10 Agustus 2024 pengguna BreachForums 'T...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.1832,0
CASE_bkn-teacher-intrusion-2024,BKN-TEACHER-INTRUSION-2024 - Pada September 2024 polisi menangkap seorang ...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.1042,0
CASE_kpu-dpt-jimbo-2023,KPU-DPT-JIMBO-2023 - Sekitar 27-28 November 2023 'Jimbo' menawarka...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2901,0
CASE_bjorka-sim-registration-1-3b-2022,BJORKA-SIM-REGISTRATION-1-3B-2022 - Pada 31 Agustus-1 September 2022 'Bjorka' men...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2545,0
CASE_immigration-passport-leak-2023,IMMIGRATION-PASSPORT-LEAK-2023 - Pada 5 Juli 2023 peneliti Teguh Aprianto mela...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.1603,0
CASE_npwp-tax-bjorka-2024,NPWP-TAX-BJORKA-2024 - Pada 18 September 2024 'Bjorka' menawarkan ~6...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2685,0
CASE_bais-tni-intelligence-leak-2024,BAIS-TNI-INTELLIGENCE-LEAK-2024 - Sekitar 24-27 Juni 2024 'MoonzHaxor' mengklai...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2966,0
CASE_inafis-polri-fingerprint-leak-2024,INAFIS-POLRI-FINGERPRINT-LEAK-2024 - Pada 22 Juni 2024 'MoonzHaxor' mengunggah dat...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2506,0
CASE_pedulilindungi-jokowi-cert-2021,PEDULILINDUNGI-JOKOWI-CERT-2021 - Awal September 2021 sertifikat vaksin Preside...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2959,0
CASE_kemenkes-patient-records-2022,KEMENKES-PATIENT-RECORDS-2022 - Pada 6 Januari 2022 Kemenkes mengakui menyeli...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2026,0
CASE_bpjs-kesehatan-279m-2021,BPJS-KESEHATAN-279M-2021 - Pada Mei 2021 akun RaidForums 'Kotz' menjual ...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2208,0
CASE_ehac-covid-app-leak-2021,EHAC-COVID-APP-LEAK-2021 - Pada 15 Juli 2021 tim vpnMentor menemukan bas...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2959,0
CASE_wannacry-hospitals-2017,WANNACRY-HOSPITALS-2017 - Pada pertengahan Mei 2017; saat wabah WannaCr...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2022,0
CASE_pedulilindungi-id-gambling-hijack-2025,PEDULILINDUNGI-ID-GAMBLING-HIJACK-2025 - Sekitar 19-20 Mei 2025 situs legacy PeduliLin...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2830,0
CASE_satusehat-kotim-breach-2025,SATUSEHAT-KOTIM-BREACH-2025 - Sekitar 7 Agustus 2025 pengguna baru forum da...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.3321,0
CASE_kemendikbud-leak-claim-2025,KEMENDIKBUD-LEAK-CLAIM-2025 - Awal Februari 2025 anggota BreachForums (teri...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.3041,0
CASE_kejaksaan-agung-defacement-2025,KEJAKSAAN-AGUNG-DEFACEMENT-2025 - Pada Februari 2025 situs resmi Kejaksaan Agun...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.3622,0
CASE_ugm-ft-website-defacement-2022,UGM-FT-WEBSITE-DEFACEMENT-2022 - Pada Desember 2022 peretas beralias 'Bangsin'...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2505,0
CASE_bsi-lockbit-ransomware-2023,BSI-LOCKBIT-RANSOMWARE-2023 - Pada 8 Mei 2023 layanan ATM dan cabang BSI lu...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.1690,0
CASE_bank-indonesia-conti-ransomware-2022,BANK-INDONESIA-CONTI-RANSOMWARE-2022 - Bank Indonesia mengonfirmasi serangan ransomw...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2575,0
CASE_indodax-crypto-hack-2024,INDODAX-CRYPTO-HACK-2024 - Pada 11 September 2024 penyerang menguras hot...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.1382,0
CASE_kreditplus-data-leak-2020,KREDITPLUS-DATA-LEAK-2020 - Data ~896.169 nasabah KreditPlus dijual di Ra...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.1692,0
CASE_cermati-data-breach-2020,CERMATI-DATA-BREACH-2020 - Data 2;9 juta pengguna Cermati dijual ~USD 2....,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2185,0
CASE_bri-life-data-leak-2021,BRI-LIFE-DATA-LEAK-2021 - Akhir Juli 2021 pengguna RaidForums menawarka...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2540,0
CASE_adakami-pinjol-conduct-2023,ADAKAMI-PINJOL-CONDUCT-2023 - Pada September 2023; laporan viral menuding s...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.3949,0
CASE_bank-jatim-bifast-fraud-2024,BANK-JATIM-BIFAST-FRAUD-2024 - Pada 22 Juni 2024; antara ~12.22-15.38 WIB; 4...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.1605,0
CASE_bank-dki-bifast-breach-2025,BANK-DKI-BIFAST-BREACH-2025 - Pada 29 Maret 2025 sistem pembayaran Bank DKI...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.1423,0
CASE_tokopedia-91m-2020,TOKOPEDIA-91M-2020 - Maret 2020 basis data pengguna Tokopedia dicu...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.1973,0
CASE_bukalapak-13m-2019,BUKALAPAK-13M-2019 - Maret 2019 Gnosticplayers menjual batch keemp...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.1511,0
CASE_bhinneka-1-2m-2020,BHINNEKA-1-2M-2020 - Bhinneka.com dibobol pada 27 Januari 2020; Ju...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2591,0
CASE_lazada-redmart-1-1m-2020,LAZADA-REDMART-1-1M-2020 - Pada 29 Oktober 2020 Lazada menemukan akses i...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2112,0
CASE_indihome-browsing-26m-2022,INDIHOME-BROWSING-26M-2022 - Agustus 2022 'Bjorka' memuat dataset 26.730.7...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2952,0
CASE_myindihome-35m-2023,MYINDIHOME-35M-2023 - Awal Juli 2023 'Bjorka' menawarkan ~35;9 juta...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2173,0
CASE_pln-customer-data-leak-2022,PLN-CUSTOMER-DATA-LEAK-2022 - Agustus 2022 data >17 juta pelanggan PLN dita...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.3761,0
CASE_mypertamina-44m-2022,MYPERTAMINA-44M-2022 - November 2022 dataset yang diatribusikan ke M...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2090,0
CASE_jasamarga-jmto-breach-2022,JASAMARGA-JMTO-BREACH-2022 - Pada 25 Agustus 2022 DESORDEN mengumumkan mem...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2441,0
CASE_kai-stormous-ransomware-2024,KAI-STORMOUS-RANSOMWARE-2024 - Januari 2024 Stormous mengklaim membobol PT K...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2402,0
CASE_malindo-lionair-30m-2019,MALINDO-LIONAIR-30M-2019 - September 2019 data penumpang anak usaha Lion...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.1621,0
CASE_prabowo-deepfake-aid-scam-2024,PRABOWO-DEEPFAKE-AID-SCAM-2024 - Mulai ~Desember 2024 penipu menyebar video de...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.3501,0
CASE_undip-deepfake-ncii-2025,UNDIP-DEEPFAKE-NCII-2025 - Seorang mahasiswa hukum Undip diam-diam memot...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.2481,0
CASE_suharto-deepfake-golkar-2024,SUHARTO-DEEPFAKE-GOLKAR-2024 - Pada 6 Januari 2024 Erwin Aksa mengunggah ke ...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.3360,0
CASE_election-candidate-deepfakes-2024,ELECTION-CANDIDATE-DEEPFAKES-2024 - Menjelang Pemilu 14 Februari 2024; video deep...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.3853,0
CASE_sri-mulyani-deepfake-2025,SRI-MULYANI-DEEPFAKE-2025 - Pertengahan Agustus 2025 sebuah deepfake mema...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.4177,0
CASE_ojk-ai-voice-deepfake-fraud-2025,OJK-AI-VOICE-DEEPFAKE-FRAUD-2025 - OJK melaporkan dua metode penipuan AI paling ...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_3,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 3,Intl: Binding Law,0.3920,0
CASE_pdns2-surabaya-ransomware-2024,PDNS2-SURABAYA-RANSOMWARE-2024 - Pada 20 Juni 2024 PDNS 2 Surabaya dienkripsi ...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.3167,0
CASE_bkn-asn-leak-topiax-2024,BKN-ASN-LEAK-TOPIAX-2024 - Pada 10 Agustus 2024 pengguna BreachForums 'T...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1541,0
CASE_bkn-teacher-intrusion-2024,BKN-TEACHER-INTRUSION-2024 - Pada September 2024 polisi menangkap seorang ...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.0569,0
CASE_kpu-dpt-jimbo-2023,KPU-DPT-JIMBO-2023 - Sekitar 27-28 November 2023 'Jimbo' menawarka...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1940,0
CASE_bjorka-sim-registration-1-3b-2022,BJORKA-SIM-REGISTRATION-1-3B-2022 - Pada 31 Agustus-1 September 2022 'Bjorka' men...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1309,0
CASE_immigration-passport-leak-2023,IMMIGRATION-PASSPORT-LEAK-2023 - Pada 5 Juli 2023 peneliti Teguh Aprianto mela...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1349,0
CASE_npwp-tax-bjorka-2024,NPWP-TAX-BJORKA-2024 - Pada 18 September 2024 'Bjorka' menawarkan ~6...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1777,0
CASE_bais-tni-intelligence-leak-2024,BAIS-TNI-INTELLIGENCE-LEAK-2024 - Sekitar 24-27 Juni 2024 'MoonzHaxor' mengklai...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1726,0
CASE_inafis-polri-fingerprint-leak-2024,INAFIS-POLRI-FINGERPRINT-LEAK-2024 - Pada 22 Juni 2024 'MoonzHaxor' mengunggah dat...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1494,0
CASE_pedulilindungi-jokowi-cert-2021,PEDULILINDUNGI-JOKOWI-CERT-2021 - Awal September 2021 sertifikat vaksin Preside...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.2856,0
CASE_kemenkes-patient-records-2022,KEMENKES-PATIENT-RECORDS-2022 - Pada 6 Januari 2022 Kemenkes mengakui menyeli...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1754,0
CASE_bpjs-kesehatan-279m-2021,BPJS-KESEHATAN-279M-2021 - Pada Mei 2021 akun RaidForums 'Kotz' menjual ...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1206,0
CASE_ehac-covid-app-leak-2021,EHAC-COVID-APP-LEAK-2021 - Pada 15 Juli 2021 tim vpnMentor menemukan bas...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.2445,0
CASE_wannacry-hospitals-2017,WANNACRY-HOSPITALS-2017 - Pada pertengahan Mei 2017; saat wabah WannaCr...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1627,0
CASE_pedulilindungi-id-gambling-hijack-2025,PEDULILINDUNGI-ID-GAMBLING-HIJACK-2025 - Sekitar 19-20 Mei 2025 situs legacy PeduliLin...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1869,0
CASE_satusehat-kotim-breach-2025,SATUSEHAT-KOTIM-BREACH-2025 - Sekitar 7 Agustus 2025 pengguna baru forum da...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1771,0
CASE_kemendikbud-leak-claim-2025,KEMENDIKBUD-LEAK-CLAIM-2025 - Awal Februari 2025 anggota BreachForums (teri...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1649,0
CASE_kejaksaan-agung-defacement-2025,KEJAKSAAN-AGUNG-DEFACEMENT-2025 - Pada Februari 2025 situs resmi Kejaksaan Agun...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.2804,0
CASE_ugm-ft-website-defacement-2022,UGM-FT-WEBSITE-DEFACEMENT-2022 - Pada Desember 2022 peretas beralias 'Bangsin'...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1441,0
CASE_bsi-lockbit-ransomware-2023,BSI-LOCKBIT-RANSOMWARE-2023 - Pada 8 Mei 2023 layanan ATM dan cabang BSI lu...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1178,0
CASE_bank-indonesia-conti-ransomware-2022,BANK-INDONESIA-CONTI-RANSOMWARE-2022 - Bank Indonesia mengonfirmasi serangan ransomw...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.2254,0
CASE_indodax-crypto-hack-2024,INDODAX-CRYPTO-HACK-2024 - Pada 11 September 2024 penyerang menguras hot...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1414,0
CASE_kreditplus-data-leak-2020,KREDITPLUS-DATA-LEAK-2020 - Data ~896.169 nasabah KreditPlus dijual di Ra...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.0443,0
CASE_cermati-data-breach-2020,CERMATI-DATA-BREACH-2020 - Data 2;9 juta pengguna Cermati dijual ~USD 2....,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1436,0
CASE_bri-life-data-leak-2021,BRI-LIFE-DATA-LEAK-2021 - Akhir Juli 2021 pengguna RaidForums menawarka...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1905,0
CASE_adakami-pinjol-conduct-2023,ADAKAMI-PINJOL-CONDUCT-2023 - Pada September 2023; laporan viral menuding s...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.3133,0
CASE_bank-jatim-bifast-fraud-2024,BANK-JATIM-BIFAST-FRAUD-2024 - Pada 22 Juni 2024; antara ~12.22-15.38 WIB; 4...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.0650,0
CASE_bank-dki-bifast-breach-2025,BANK-DKI-BIFAST-BREACH-2025 - Pada 29 Maret 2025 sistem pembayaran Bank DKI...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.0516,0
CASE_tokopedia-91m-2020,TOKOPEDIA-91M-2020 - Maret 2020 basis data pengguna Tokopedia dicu...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1175,0
CASE_bukalapak-13m-2019,BUKALAPAK-13M-2019 - Maret 2019 Gnosticplayers menjual batch keemp...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.0778,0
CASE_bhinneka-1-2m-2020,BHINNEKA-1-2M-2020 - Bhinneka.com dibobol pada 27 Januari 2020; Ju...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1326,0
CASE_lazada-redmart-1-1m-2020,LAZADA-REDMART-1-1M-2020 - Pada 29 Oktober 2020 Lazada menemukan akses i...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1122,0
CASE_indihome-browsing-26m-2022,INDIHOME-BROWSING-26M-2022 - Agustus 2022 'Bjorka' memuat dataset 26.730.7...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1780,0
CASE_myindihome-35m-2023,MYINDIHOME-35M-2023 - Awal Juli 2023 'Bjorka' menawarkan ~35;9 juta...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_4,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 4,Intl: Binding Law,0.1614,0
